Epoch [1/5] | Batch #1 | Batch Accuracy 18.75%
Epoch [1/5] | Batch #2 | Batch Accuracy 16.67%
Epoch [1/5] | Batch #3 | Batch Accuracy 21.53%
Epoch [1/5] | Batch #4 | Batch Accuracy 20.83%
Epoch [1/5] | Batch #5 | Batch Accuracy 25.00%
Epoch [1/5] | Batch #6 | Batch Accuracy 26.39%
Epoch [1/5] | Batch #7 | Batch Accuracy 27.08%
Epoch [1/5] | Batch #8 | Batch Accuracy 29.43%
Epoch [1/5] | Batch #9 | Batch Accuracy 31.48%
Epoch [1/5] | Batch #10 | Batch Accuracy 33.75%
Epoch [1/5] | Batch #11 | Batch Accuracy 35.80%
Epoch [1/5] | Batch #12 | Batch Accuracy 38.02%
Epoch [1/5] | Batch #13 | Batch Accuracy 38.46%
Epoch [1/5] | Batch #14 | Batch Accuracy 39.14%
Epoch [1/5] | Batch #15 | Batch Accuracy 40.42%
Epoch [1/5] | Batch #16 | Batch Accuracy 41.41%
Epoch [1/5] | Batch #17 | Batch Accuracy 41.67%
Epoch [1/5] | Batch #18 | Batch Accuracy 41.44%
Epoch [1/5] | Batch #19 | Batch Accuracy 42.54%
Epoch [1/5] | Batch #20 | Batch Accuracy 42.92%
Epoch [1/5] | Batch #21 | Batch Accuracy 42.86%
Epoch [1/5] | Batch #22 | Batch Accuracy 43.28%
Epoch [1/5] | Batch #23 | Batch Accuracy 44.38%
Epoch [1/5] | Batch #24 | Batch Accuracy 45.66%
Epoch [1/5] | Batch #25 | Batch Accuracy 46.00%
Epoch [1/5] | Batch #26 | Batch Accuracy 46.55%
Epoch [1/5] | Batch #27 | Batch Accuracy 47.15%
Epoch [1/5] | Batch #28 | Batch Accuracy 47.32%
Epoch [1/5] | Batch #29 | Batch Accuracy 47.77%
Epoch [1/5] | Batch #30 | Batch Accuracy 48.61%
Epoch [1/5] | Batch #31 | Batch Accuracy 49.06%
Epoch [1/5] | Batch #32 | Batch Accuracy 49.48%
Epoch [1/5] | Batch #33 | Batch Accuracy 50.00%
Epoch [1/5] | Batch #34 | Batch Accuracy 50.55%
Epoch [1/5] | Batch #35 | Batch Accuracy 50.89%
Epoch [1/5] | Batch #36 | Batch Accuracy 51.39%
Epoch [1/5] | Batch #37 | Batch Accuracy 51.86%
Epoch [1/5] | Batch #38 | Batch Accuracy 52.47%
Epoch [1/5] | Batch #39 | Batch Accuracy 52.62%
Epoch [1/5] | Batch #40 | Batch Accuracy 52.92%
Epoch [1/5] Train Loss: 1.3112 | Train Acc: 52.92% | Val Acc: 43.23% | Val Loss: 1.52%
Epoch [2/5] | Batch #1 | Batch Accuracy 62.50%
Epoch [2/5] | Batch #2 | Batch Accuracy 56.25%
Epoch [2/5] | Batch #3 | Batch Accuracy 56.94%
Epoch [2/5] | Batch #4 | Batch Accuracy 57.29%
Epoch [2/5] | Batch #5 | Batch Accuracy 57.92%
Epoch [2/5] | Batch #6 | Batch Accuracy 59.03%
Epoch [2/5] | Batch #7 | Batch Accuracy 59.52%
Epoch [2/5] | Batch #8 | Batch Accuracy 58.07%
Epoch [2/5] | Batch #9 | Batch Accuracy 57.64%
Epoch [2/5] | Batch #10 | Batch Accuracy 57.50%
Epoch [2/5] | Batch #11 | Batch Accuracy 57.58%
Epoch [2/5] | Batch #12 | Batch Accuracy 57.99%
Epoch [2/5] | Batch #13 | Batch Accuracy 58.17%
Epoch [2/5] | Batch #14 | Batch Accuracy 59.08%
Epoch [2/5] | Batch #15 | Batch Accuracy 59.17%
Epoch [2/5] | Batch #16 | Batch Accuracy 59.51%
Epoch [2/5] | Batch #17 | Batch Accuracy 60.42%
Epoch [2/5] | Batch #18 | Batch Accuracy 60.88%
Epoch [2/5] | Batch #19 | Batch Accuracy 60.75%
Epoch [2/5] | Batch #20 | Batch Accuracy 60.62%
Epoch [2/5] | Batch #21 | Batch Accuracy 61.41%
Epoch [2/5] | Batch #22 | Batch Accuracy 61.27%
Epoch [2/5] | Batch #23 | Batch Accuracy 61.14%
Epoch [2/5] | Batch #24 | Batch Accuracy 61.20%
Epoch [2/5] | Batch #25 | Batch Accuracy 61.42%
Epoch [2/5] | Batch #26 | Batch Accuracy 61.70%
Epoch [2/5] | Batch #27 | Batch Accuracy 61.96%
Epoch [2/5] | Batch #28 | Batch Accuracy 61.83%
Epoch [2/5] | Batch #29 | Batch Accuracy 62.50%
Epoch [2/5] | Batch #30 | Batch Accuracy 62.36%
Epoch [2/5] | Batch #31 | Batch Accuracy 62.37%
Epoch [2/5] | Batch #32 | Batch Accuracy 62.70%
Epoch [2/5] | Batch #33 | Batch Accuracy 63.07%
Epoch [2/5] | Batch #34 | Batch Accuracy 63.11%
Epoch [2/5] | Batch #35 | Batch Accuracy 62.98%
Epoch [2/5] | Batch #36 | Batch Accuracy 63.37%
Epoch [2/5] | Batch #37 | Batch Accuracy 63.68%
Epoch [2/5] | Batch #38 | Batch Accuracy 63.98%
Epoch [2/5] | Batch #39 | Batch Accuracy 64.10%
Epoch [2/5] | Batch #40 | Batch Accuracy 64.64%
Epoch [2/5] Train Loss: 0.9510 | Train Acc: 64.64% | Val Acc: 46.88% | Val Loss: 2.52%
Epoch [3/5] | Batch #1 | Batch Accuracy 66.67%
Epoch [3/5] | Batch #2 | Batch Accuracy 70.83%
Epoch [3/5] | Batch #3 | Batch Accuracy 70.14%
Epoch [3/5] | Batch #4 | Batch Accuracy 68.75%
