Epoch [1/5] | Batch #1 | Batch Accuracy 5.00%
Epoch [1/5] | Batch #2 | Batch Accuracy 14.17%
Epoch [1/5] | Batch #3 | Batch Accuracy 14.44%
Epoch [1/5] | Batch #4 | Batch Accuracy 16.25%
Epoch [1/5] | Batch #5 | Batch Accuracy 19.67%
Epoch [1/5] | Batch #6 | Batch Accuracy 21.67%
Epoch [1/5] | Batch #7 | Batch Accuracy 23.81%
Epoch [1/5] | Batch #8 | Batch Accuracy 25.83%
Epoch [1/5] | Batch #9 | Batch Accuracy 26.30%
Epoch [1/5] | Batch #10 | Batch Accuracy 26.33%
Epoch [1/5] | Batch #11 | Batch Accuracy 27.73%
Epoch [1/5] | Batch #12 | Batch Accuracy 29.86%
Epoch [1/5] | Batch #13 | Batch Accuracy 30.51%
Epoch [1/5] | Batch #14 | Batch Accuracy 31.90%
Epoch [1/5] | Batch #15 | Batch Accuracy 32.78%
Epoch [1/5] | Batch #16 | Batch Accuracy 34.17%
Epoch [1/5] | Batch #17 | Batch Accuracy 35.98%
Epoch [1/5] | Batch #18 | Batch Accuracy 36.57%
Epoch [1/5] | Batch #19 | Batch Accuracy 36.67%
Epoch [1/5] | Batch #20 | Batch Accuracy 37.00%
Epoch [1/5] | Batch #21 | Batch Accuracy 37.70%
Epoch [1/5] | Batch #22 | Batch Accuracy 37.95%
Epoch [1/5] | Batch #23 | Batch Accuracy 38.70%
Epoch [1/5] | Batch #24 | Batch Accuracy 39.38%
Epoch [1/5] | Batch #25 | Batch Accuracy 40.40%
Epoch [1/5] | Batch #26 | Batch Accuracy 40.83%
Epoch [1/5] | Batch #27 | Batch Accuracy 41.11%
Epoch [1/5] | Batch #28 | Batch Accuracy 41.73%
Epoch [1/5] | Batch #29 | Batch Accuracy 42.13%
Epoch [1/5] | Batch #30 | Batch Accuracy 42.72%
Epoch [1/5] | Batch #31 | Batch Accuracy 43.17%
Epoch [1/5] | Batch #32 | Batch Accuracy 43.65%
Epoch [1/5] Train Loss: 1.5670 | Train Acc: 43.65% | Val Acc: 41.11% | Val Loss: 1.41%
Epoch [2/5] | Batch #33 | Batch Accuracy 58.33%
Epoch [2/5] | Batch #34 | Batch Accuracy 55.00%
Epoch [2/5] | Batch #35 | Batch Accuracy 50.56%
Epoch [2/5] | Batch #36 | Batch Accuracy 52.92%
Epoch [2/5] | Batch #37 | Batch Accuracy 52.67%
Epoch [2/5] | Batch #38 | Batch Accuracy 51.39%
Epoch [2/5] | Batch #39 | Batch Accuracy 50.95%
Epoch [2/5] | Batch #40 | Batch Accuracy 50.42%
Epoch [2/5] | Batch #41 | Batch Accuracy 50.56%
Epoch [2/5] | Batch #42 | Batch Accuracy 49.33%
Epoch [2/5] | Batch #43 | Batch Accuracy 49.09%
Epoch [2/5] | Batch #44 | Batch Accuracy 49.03%
Epoch [2/5] | Batch #45 | Batch Accuracy 48.85%
Epoch [2/5] | Batch #46 | Batch Accuracy 49.40%
Epoch [2/5] | Batch #47 | Batch Accuracy 50.44%
Epoch [2/5] | Batch #48 | Batch Accuracy 50.42%
Epoch [2/5] | Batch #49 | Batch Accuracy 50.59%
Epoch [2/5] | Batch #50 | Batch Accuracy 50.65%
Epoch [2/5] | Batch #51 | Batch Accuracy 50.96%
Epoch [2/5] | Batch #52 | Batch Accuracy 51.08%
Epoch [2/5] | Batch #53 | Batch Accuracy 51.03%
Epoch [2/5] | Batch #54 | Batch Accuracy 51.59%
Epoch [2/5] | Batch #55 | Batch Accuracy 52.10%
Epoch [2/5] | Batch #56 | Batch Accuracy 51.67%
Epoch [2/5] | Batch #57 | Batch Accuracy 52.13%
Epoch [2/5] | Batch #58 | Batch Accuracy 52.31%
Epoch [2/5] | Batch #59 | Batch Accuracy 52.35%
Epoch [2/5] | Batch #60 | Batch Accuracy 52.32%
Epoch [2/5] | Batch #61 | Batch Accuracy 52.18%
Epoch [2/5] | Batch #62 | Batch Accuracy 52.67%
Epoch [2/5] | Batch #63 | Batch Accuracy 53.28%
Epoch [2/5] | Batch #64 | Batch Accuracy 53.54%
Epoch [2/5] Train Loss: 1.2588 | Train Acc: 53.54% | Val Acc: 45.83% | Val Loss: 1.22%
Epoch [3/5] | Batch #65 | Batch Accuracy 48.33%
Epoch [3/5] | Batch #66 | Batch Accuracy 55.00%
Epoch [3/5] | Batch #67 | Batch Accuracy 56.67%
Epoch [3/5] | Batch #68 | Batch Accuracy 56.67%
Epoch [3/5] | Batch #69 | Batch Accuracy 57.33%
Epoch [3/5] | Batch #70 | Batch Accuracy 56.67%
Epoch [3/5] | Batch #71 | Batch Accuracy 57.86%
Epoch [3/5] | Batch #72 | Batch Accuracy 56.88%
Epoch [3/5] | Batch #73 | Batch Accuracy 56.11%
Epoch [3/5] | Batch #74 | Batch Accuracy 55.17%
Epoch [3/5] | Batch #75 | Batch Accuracy 55.91%
Epoch [3/5] | Batch #76 | Batch Accuracy 56.11%
Epoch [3/5] | Batch #77 | Batch Accuracy 55.64%
Epoch [3/5] | Batch #78 | Batch Accuracy 56.43%
Epoch [3/5] | Batch #79 | Batch Accuracy 55.67%
Epoch [3/5] | Batch #80 | Batch Accuracy 55.62%
Epoch [3/5] | Batch #81 | Batch Accuracy 55.59%
Epoch [3/5] | Batch #82 | Batch Accuracy 55.65%
Epoch [3/5] | Batch #83 | Batch Accuracy 56.23%
Epoch [3/5] | Batch #84 | Batch Accuracy 56.42%
Epoch [3/5] | Batch #85 | Batch Accuracy 56.35%
Epoch [3/5] | Batch #86 | Batch Accuracy 56.36%
Epoch [3/5] | Batch #87 | Batch Accuracy 56.45%
Epoch [3/5] | Batch #88 | Batch Accuracy 56.04%
Epoch [3/5] | Batch #89 | Batch Accuracy 56.27%
Epoch [3/5] | Batch #90 | Batch Accuracy 56.15%
Epoch [3/5] | Batch #91 | Batch Accuracy 56.23%
Epoch [3/5] | Batch #92 | Batch Accuracy 56.61%
Epoch [3/5] | Batch #93 | Batch Accuracy 56.61%
Epoch [3/5] | Batch #94 | Batch Accuracy 56.17%
Epoch [3/5] | Batch #95 | Batch Accuracy 56.29%
