Epoch [1/5] | Batch #1 | Batch Accuracy 38.33%
Epoch [1/5] | Batch #2 | Batch Accuracy 37.50%
Epoch [1/5] | Batch #3 | Batch Accuracy 41.11%
Epoch [1/5] | Batch #4 | Batch Accuracy 39.17%
Epoch [1/5] | Batch #5 | Batch Accuracy 38.67%
Epoch [1/5] | Batch #6 | Batch Accuracy 39.17%
Epoch [1/5] | Batch #7 | Batch Accuracy 40.24%
Epoch [1/5] | Batch #8 | Batch Accuracy 41.46%
Epoch [1/5] | Batch #9 | Batch Accuracy 42.04%
Epoch [1/5] | Batch #10 | Batch Accuracy 42.67%
Epoch [1/5] | Batch #11 | Batch Accuracy 43.94%
Epoch [1/5] | Batch #12 | Batch Accuracy 43.75%
Epoch [1/5] | Batch #13 | Batch Accuracy 44.62%
Epoch [1/5] | Batch #14 | Batch Accuracy 45.00%
Epoch [1/5] | Batch #15 | Batch Accuracy 45.67%
Epoch [1/5] | Batch #16 | Batch Accuracy 45.73%
Epoch [1/5] | Batch #17 | Batch Accuracy 46.27%
Epoch [1/5] | Batch #18 | Batch Accuracy 46.57%
Epoch [1/5] | Batch #19 | Batch Accuracy 46.67%
Epoch [1/5] | Batch #20 | Batch Accuracy 46.75%
Epoch [1/5] | Batch #21 | Batch Accuracy 46.51%
Epoch [1/5] | Batch #22 | Batch Accuracy 46.89%
Epoch [1/5] | Batch #23 | Batch Accuracy 47.03%
Epoch [1/5] | Batch #24 | Batch Accuracy 47.29%
Epoch [1/5] | Batch #25 | Batch Accuracy 47.00%
Epoch [1/5] | Batch #26 | Batch Accuracy 46.86%
Epoch [1/5] | Batch #27 | Batch Accuracy 46.79%
Epoch [1/5] | Batch #28 | Batch Accuracy 46.67%
Epoch [1/5] | Batch #29 | Batch Accuracy 46.55%
Epoch [1/5] | Batch #30 | Batch Accuracy 47.00%
Epoch [1/5] | Batch #31 | Batch Accuracy 47.42%
Epoch [1/5] | Batch #32 | Batch Accuracy 47.66%
Epoch [1/5] Train Loss: 1.3541 | Train Acc: 47.66% | Val Acc: 40.56% | Val Loss: 2.93%
Epoch [2/5] | Batch #33 | Batch Accuracy 41.67%
Epoch [2/5] | Batch #34 | Batch Accuracy 45.83%
Epoch [2/5] | Batch #35 | Batch Accuracy 51.67%
Epoch [2/5] | Batch #36 | Batch Accuracy 52.50%
Epoch [2/5] | Batch #37 | Batch Accuracy 52.33%
Epoch [2/5] | Batch #38 | Batch Accuracy 53.89%
Epoch [2/5] | Batch #39 | Batch Accuracy 54.05%
Epoch [2/5] | Batch #40 | Batch Accuracy 54.17%
Epoch [2/5] | Batch #41 | Batch Accuracy 53.89%
Epoch [2/5] | Batch #42 | Batch Accuracy 53.33%
Epoch [2/5] | Batch #43 | Batch Accuracy 53.94%
Epoch [2/5] | Batch #44 | Batch Accuracy 54.44%
Epoch [2/5] | Batch #45 | Batch Accuracy 54.74%
Epoch [2/5] | Batch #46 | Batch Accuracy 53.57%
Epoch [2/5] | Batch #47 | Batch Accuracy 54.11%
Epoch [2/5] | Batch #48 | Batch Accuracy 54.17%
Epoch [2/5] | Batch #49 | Batch Accuracy 53.73%
Epoch [2/5] | Batch #50 | Batch Accuracy 53.15%
Epoch [2/5] | Batch #51 | Batch Accuracy 53.33%
Epoch [2/5] | Batch #52 | Batch Accuracy 53.08%
Epoch [2/5] | Batch #53 | Batch Accuracy 53.25%
Epoch [2/5] | Batch #54 | Batch Accuracy 53.26%
Epoch [2/5] | Batch #55 | Batch Accuracy 53.19%
Epoch [2/5] | Batch #56 | Batch Accuracy 52.78%
Epoch [2/5] | Batch #57 | Batch Accuracy 52.80%
Epoch [2/5] | Batch #58 | Batch Accuracy 52.50%
Epoch [2/5] | Batch #59 | Batch Accuracy 52.35%
Epoch [2/5] | Batch #60 | Batch Accuracy 52.32%
Epoch [2/5] | Batch #61 | Batch Accuracy 52.24%
Epoch [2/5] | Batch #62 | Batch Accuracy 52.50%
Epoch [2/5] | Batch #63 | Batch Accuracy 52.63%
Epoch [2/5] | Batch #64 | Batch Accuracy 52.08%
Epoch [2/5] Train Loss: 1.2920 | Train Acc: 52.08% | Val Acc: 39.72% | Val Loss: 1.12%
Epoch [3/5] | Batch #65 | Batch Accuracy 55.00%
Epoch [3/5] | Batch #66 | Batch Accuracy 52.50%
Epoch [3/5] | Batch #67 | Batch Accuracy 56.67%
Epoch [3/5] | Batch #68 | Batch Accuracy 58.33%
Epoch [3/5] | Batch #69 | Batch Accuracy 57.33%
Epoch [3/5] | Batch #70 | Batch Accuracy 58.61%
Epoch [3/5] | Batch #71 | Batch Accuracy 56.67%
Epoch [3/5] | Batch #72 | Batch Accuracy 56.25%
Epoch [3/5] | Batch #73 | Batch Accuracy 57.04%
Epoch [3/5] | Batch #74 | Batch Accuracy 57.33%
Epoch [3/5] | Batch #75 | Batch Accuracy 57.42%
Epoch [3/5] | Batch #76 | Batch Accuracy 58.06%
Epoch [3/5] | Batch #77 | Batch Accuracy 58.33%
Epoch [3/5] | Batch #78 | Batch Accuracy 58.21%
Epoch [3/5] | Batch #79 | Batch Accuracy 59.44%
Epoch [3/5] | Batch #80 | Batch Accuracy 59.58%
Epoch [3/5] | Batch #81 | Batch Accuracy 59.90%
Epoch [3/5] | Batch #82 | Batch Accuracy 60.09%
Epoch [3/5] | Batch #83 | Batch Accuracy 59.91%
Epoch [3/5] | Batch #84 | Batch Accuracy 60.17%
Epoch [3/5] | Batch #85 | Batch Accuracy 59.60%
Epoch [3/5] | Batch #86 | Batch Accuracy 59.55%
Epoch [3/5] | Batch #87 | Batch Accuracy 59.49%
Epoch [3/5] | Batch #88 | Batch Accuracy 59.51%
Epoch [3/5] | Batch #89 | Batch Accuracy 59.00%
Epoch [3/5] | Batch #90 | Batch Accuracy 58.46%
Epoch [3/5] | Batch #91 | Batch Accuracy 58.58%
Epoch [3/5] | Batch #92 | Batch Accuracy 58.33%
Epoch [3/5] | Batch #93 | Batch Accuracy 58.56%
Epoch [3/5] | Batch #94 | Batch Accuracy 58.67%
Epoch [3/5] | Batch #95 | Batch Accuracy 58.76%
Epoch [3/5] | Batch #96 | Batch Accuracy 58.54%
Epoch [3/5] Train Loss: 1.0872 | Train Acc: 58.54% | Val Acc: 39.17% | Val Loss: 1.45%
Epoch [4/5] | Batch #97 | Batch Accuracy 51.67%
Epoch [4/5] | Batch #98 | Batch Accuracy 52.50%
Epoch [4/5] | Batch #99 | Batch Accuracy 54.44%
Epoch [4/5] | Batch #100 | Batch Accuracy 56.67%
Epoch [4/5] | Batch #101 | Batch Accuracy 57.67%
Epoch [4/5] | Batch #102 | Batch Accuracy 57.22%
Epoch [4/5] | Batch #103 | Batch Accuracy 56.43%
Epoch [4/5] | Batch #104 | Batch Accuracy 56.04%
Epoch [4/5] | Batch #105 | Batch Accuracy 56.48%
Epoch [4/5] | Batch #106 | Batch Accuracy 57.33%
Epoch [4/5] | Batch #107 | Batch Accuracy 57.42%
Epoch [4/5] | Batch #108 | Batch Accuracy 56.94%
Epoch [4/5] | Batch #109 | Batch Accuracy 56.79%
Epoch [4/5] | Batch #110 | Batch Accuracy 57.02%
Epoch [4/5] | Batch #111 | Batch Accuracy 57.44%
Epoch [4/5] | Batch #112 | Batch Accuracy 58.23%
Epoch [4/5] | Batch #113 | Batch Accuracy 58.14%
Epoch [4/5] | Batch #114 | Batch Accuracy 57.96%
Epoch [4/5] | Batch #115 | Batch Accuracy 57.98%
Epoch [4/5] | Batch #116 | Batch Accuracy 58.33%
Epoch [4/5] | Batch #117 | Batch Accuracy 58.25%
Epoch [4/5] | Batch #118 | Batch Accuracy 58.86%
Epoch [4/5] | Batch #119 | Batch Accuracy 58.91%
Epoch [4/5] | Batch #120 | Batch Accuracy 58.26%
Epoch [4/5] | Batch #121 | Batch Accuracy 58.27%
Epoch [4/5] | Batch #122 | Batch Accuracy 58.27%
Epoch [4/5] | Batch #123 | Batch Accuracy 58.15%
Epoch [4/5] | Batch #124 | Batch Accuracy 57.80%
Epoch [4/5] | Batch #125 | Batch Accuracy 57.87%
Epoch [4/5] | Batch #126 | Batch Accuracy 57.89%
Epoch [4/5] | Batch #127 | Batch Accuracy 58.39%
Epoch [4/5] | Batch #128 | Batch Accuracy 58.49%
Epoch [4/5] Train Loss: 1.0887 | Train Acc: 58.49% | Val Acc: 44.72% | Val Loss: 1.19%
Epoch [5/5] | Batch #129 | Batch Accuracy 60.00%
Epoch [5/5] | Batch #130 | Batch Accuracy 60.83%
Epoch [5/5] | Batch #131 | Batch Accuracy 60.56%
Epoch [5/5] | Batch #132 | Batch Accuracy 61.25%
Epoch [5/5] | Batch #133 | Batch Accuracy 61.00%
Epoch [5/5] | Batch #134 | Batch Accuracy 59.72%
Epoch [5/5] | Batch #135 | Batch Accuracy 62.62%
Epoch [5/5] | Batch #136 | Batch Accuracy 62.71%
Epoch [5/5] | Batch #137 | Batch Accuracy 61.85%
Epoch [5/5] | Batch #138 | Batch Accuracy 61.33%
Epoch [5/5] | Batch #139 | Batch Accuracy 63.03%
Epoch [5/5] | Batch #140 | Batch Accuracy 62.78%
Epoch [5/5] | Batch #141 | Batch Accuracy 62.44%
Epoch [5/5] | Batch #142 | Batch Accuracy 61.67%
Epoch [5/5] | Batch #143 | Batch Accuracy 61.56%
Epoch [5/5] | Batch #144 | Batch Accuracy 61.25%
Epoch [5/5] | Batch #145 | Batch Accuracy 61.18%
Epoch [5/5] | Batch #146 | Batch Accuracy 60.56%
Epoch [5/5] | Batch #147 | Batch Accuracy 59.82%
Epoch [5/5] | Batch #148 | Batch Accuracy 59.75%
Epoch [5/5] | Batch #149 | Batch Accuracy 59.13%
Epoch [5/5] | Batch #150 | Batch Accuracy 59.24%
Epoch [5/5] | Batch #151 | Batch Accuracy 58.77%
Epoch [5/5] | Batch #152 | Batch Accuracy 58.61%
Epoch [5/5] | Batch #153 | Batch Accuracy 58.80%
Epoch [5/5] | Batch #154 | Batch Accuracy 58.59%
Epoch [5/5] | Batch #155 | Batch Accuracy 58.70%
Epoch [5/5] | Batch #156 | Batch Accuracy 58.75%
Epoch [5/5] | Batch #157 | Batch Accuracy 58.74%
Epoch [5/5] | Batch #158 | Batch Accuracy 58.67%
Epoch [5/5] | Batch #159 | Batch Accuracy 58.49%
Epoch [5/5] | Batch #160 | Batch Accuracy 58.54%
Epoch [5/5] Train Loss: 1.0876 | Train Acc: 58.54% | Val Acc: 35.00% | Val Loss: 1.48%
