Epoch [1/5] | Batch #1 | Batch Accuracy 10.00%
Epoch [1/5] | Batch #2 | Batch Accuracy 13.33%
Epoch [1/5] | Batch #3 | Batch Accuracy 16.67%
Epoch [1/5] | Batch #4 | Batch Accuracy 17.50%
Epoch [1/5] | Batch #5 | Batch Accuracy 20.33%
Epoch [1/5] | Batch #6 | Batch Accuracy 19.44%
Epoch [1/5] | Batch #7 | Batch Accuracy 19.52%
Epoch [1/5] | Batch #8 | Batch Accuracy 19.38%
Epoch [1/5] | Batch #9 | Batch Accuracy 20.93%
Epoch [1/5] | Batch #10 | Batch Accuracy 22.17%
Epoch [1/5] | Batch #11 | Batch Accuracy 22.73%
Epoch [1/5] | Batch #12 | Batch Accuracy 23.33%
Epoch [1/5] | Batch #13 | Batch Accuracy 23.97%
Epoch [1/5] | Batch #14 | Batch Accuracy 26.55%
Epoch [1/5] | Batch #15 | Batch Accuracy 28.00%
Epoch [1/5] | Batch #16 | Batch Accuracy 28.44%
Epoch [1/5] | Batch #17 | Batch Accuracy 29.41%
Epoch [1/5] | Batch #18 | Batch Accuracy 30.46%
Epoch [1/5] | Batch #19 | Batch Accuracy 31.67%
Epoch [1/5] | Batch #20 | Batch Accuracy 32.67%
Epoch [1/5] | Batch #21 | Batch Accuracy 33.49%
Epoch [1/5] | Batch #22 | Batch Accuracy 33.64%
Epoch [1/5] | Batch #23 | Batch Accuracy 33.70%
Epoch [1/5] | Batch #24 | Batch Accuracy 34.24%
Epoch [1/5] | Batch #25 | Batch Accuracy 35.27%
Epoch [1/5] | Batch #26 | Batch Accuracy 35.77%
Epoch [1/5] | Batch #27 | Batch Accuracy 36.05%
Epoch [1/5] | Batch #28 | Batch Accuracy 36.61%
Epoch [1/5] | Batch #29 | Batch Accuracy 37.18%
Epoch [1/5] | Batch #30 | Batch Accuracy 37.00%
Epoch [1/5] | Batch #31 | Batch Accuracy 37.31%
Epoch [1/5] | Batch #32 | Batch Accuracy 37.71%
Epoch [1/5] Train Loss: 1.7858 | Train Acc: 37.71% | Val Acc: 25.83% | Val Loss: 31.66%
Epoch [2/5] | Batch #33 | Batch Accuracy 51.67%
Epoch [2/5] | Batch #34 | Batch Accuracy 53.33%
Epoch [2/5] | Batch #35 | Batch Accuracy 51.11%
Epoch [2/5] | Batch #36 | Batch Accuracy 57.08%
Epoch [2/5] | Batch #37 | Batch Accuracy 57.00%
Epoch [2/5] | Batch #38 | Batch Accuracy 57.78%
Epoch [2/5] | Batch #39 | Batch Accuracy 56.19%
Epoch [2/5] | Batch #40 | Batch Accuracy 56.88%
Epoch [2/5] | Batch #41 | Batch Accuracy 57.41%
Epoch [2/5] | Batch #42 | Batch Accuracy 57.50%
Epoch [2/5] | Batch #43 | Batch Accuracy 57.27%
Epoch [2/5] | Batch #44 | Batch Accuracy 57.36%
Epoch [2/5] | Batch #45 | Batch Accuracy 57.31%
Epoch [2/5] | Batch #46 | Batch Accuracy 56.67%
Epoch [2/5] | Batch #47 | Batch Accuracy 55.78%
Epoch [2/5] | Batch #48 | Batch Accuracy 55.10%
Epoch [2/5] | Batch #49 | Batch Accuracy 54.51%
Epoch [2/5] | Batch #50 | Batch Accuracy 54.54%
Epoch [2/5] | Batch #51 | Batch Accuracy 55.09%
Epoch [2/5] | Batch #52 | Batch Accuracy 55.25%
Epoch [2/5] | Batch #53 | Batch Accuracy 55.08%
Epoch [2/5] | Batch #54 | Batch Accuracy 55.53%
Epoch [2/5] | Batch #55 | Batch Accuracy 55.51%
Epoch [2/5] | Batch #56 | Batch Accuracy 55.14%
Epoch [2/5] | Batch #57 | Batch Accuracy 55.13%
Epoch [2/5] | Batch #58 | Batch Accuracy 55.13%
Epoch [2/5] | Batch #59 | Batch Accuracy 55.43%
Epoch [2/5] | Batch #60 | Batch Accuracy 55.36%
Epoch [2/5] | Batch #61 | Batch Accuracy 54.94%
Epoch [2/5] | Batch #62 | Batch Accuracy 55.39%
Epoch [2/5] | Batch #63 | Batch Accuracy 54.95%
Epoch [2/5] | Batch #64 | Batch Accuracy 54.74%
Epoch [2/5] Train Loss: 1.2713 | Train Acc: 54.74% | Val Acc: 45.00% | Val Loss: 1.19%
Epoch [3/5] | Batch #65 | Batch Accuracy 51.67%
Epoch [3/5] | Batch #66 | Batch Accuracy 44.17%
Epoch [3/5] | Batch #67 | Batch Accuracy 50.00%
Epoch [3/5] | Batch #68 | Batch Accuracy 54.58%
Epoch [3/5] | Batch #69 | Batch Accuracy 56.67%
Epoch [3/5] | Batch #70 | Batch Accuracy 57.78%
Epoch [3/5] | Batch #71 | Batch Accuracy 57.86%
Epoch [3/5] | Batch #72 | Batch Accuracy 58.96%
Epoch [3/5] | Batch #73 | Batch Accuracy 58.52%
Epoch [3/5] | Batch #74 | Batch Accuracy 58.33%
Epoch [3/5] | Batch #75 | Batch Accuracy 58.03%
Epoch [3/5] | Batch #76 | Batch Accuracy 57.08%
Epoch [3/5] | Batch #77 | Batch Accuracy 56.03%
Epoch [3/5] | Batch #78 | Batch Accuracy 55.48%
Epoch [3/5] | Batch #79 | Batch Accuracy 55.67%
Epoch [3/5] | Batch #80 | Batch Accuracy 55.42%
Epoch [3/5] | Batch #81 | Batch Accuracy 55.10%
Epoch [3/5] | Batch #82 | Batch Accuracy 55.46%
Epoch [3/5] | Batch #83 | Batch Accuracy 55.35%
Epoch [3/5] | Batch #84 | Batch Accuracy 55.92%
Epoch [3/5] | Batch #85 | Batch Accuracy 56.03%
Epoch [3/5] | Batch #86 | Batch Accuracy 55.61%
Epoch [3/5] | Batch #87 | Batch Accuracy 55.80%
Epoch [3/5] | Batch #88 | Batch Accuracy 55.97%
Epoch [3/5] | Batch #89 | Batch Accuracy 55.93%
Epoch [3/5] | Batch #90 | Batch Accuracy 55.83%
Epoch [3/5] | Batch #91 | Batch Accuracy 55.74%
Epoch [3/5] | Batch #92 | Batch Accuracy 55.77%
Epoch [3/5] | Batch #93 | Batch Accuracy 55.92%
Epoch [3/5] | Batch #94 | Batch Accuracy 55.94%
Epoch [3/5] | Batch #95 | Batch Accuracy 55.65%
Epoch [3/5] | Batch #96 | Batch Accuracy 55.68%
Epoch [3/5] Train Loss: 1.1755 | Train Acc: 55.68% | Val Acc: 31.39% | Val Loss: 3.48%
Epoch [4/5] | Batch #97 | Batch Accuracy 43.33%
Epoch [4/5] | Batch #98 | Batch Accuracy 51.67%
Epoch [4/5] | Batch #99 | Batch Accuracy 54.44%
Epoch [4/5] | Batch #100 | Batch Accuracy 54.58%
Epoch [4/5] | Batch #101 | Batch Accuracy 55.67%
Epoch [4/5] | Batch #102 | Batch Accuracy 58.06%
Epoch [4/5] | Batch #103 | Batch Accuracy 58.33%
Epoch [4/5] | Batch #104 | Batch Accuracy 58.54%
Epoch [4/5] | Batch #105 | Batch Accuracy 58.89%
