Epoch [1/5] | Batch #1 | Batch Accuracy 14.58%
Epoch [1/5] | Batch #2 | Batch Accuracy 17.71%
Epoch [1/5] | Batch #3 | Batch Accuracy 18.75%
Epoch [1/5] | Batch #4 | Batch Accuracy 25.00%
Epoch [1/5] | Batch #5 | Batch Accuracy 26.25%
Epoch [1/5] | Batch #6 | Batch Accuracy 29.17%
Epoch [1/5] | Batch #7 | Batch Accuracy 30.65%
Epoch [1/5] | Batch #8 | Batch Accuracy 32.81%
Epoch [1/5] | Batch #9 | Batch Accuracy 34.26%
Epoch [1/5] | Batch #10 | Batch Accuracy 35.42%
Epoch [1/5] | Batch #11 | Batch Accuracy 37.12%
Epoch [1/5] | Batch #12 | Batch Accuracy 38.37%
Epoch [1/5] | Batch #13 | Batch Accuracy 40.22%
Epoch [1/5] | Batch #14 | Batch Accuracy 41.37%
Epoch [1/5] | Batch #15 | Batch Accuracy 42.22%
Epoch [1/5] | Batch #16 | Batch Accuracy 42.71%
Epoch [1/5] | Batch #17 | Batch Accuracy 43.50%
Epoch [1/5] | Batch #18 | Batch Accuracy 43.75%
Epoch [1/5] | Batch #19 | Batch Accuracy 44.63%
Epoch [1/5] | Batch #20 | Batch Accuracy 44.90%
Epoch [1/5] | Batch #21 | Batch Accuracy 45.93%
Epoch [1/5] | Batch #22 | Batch Accuracy 46.02%
Epoch [1/5] | Batch #23 | Batch Accuracy 46.11%
Epoch [1/5] | Batch #24 | Batch Accuracy 46.09%
Epoch [1/5] | Batch #25 | Batch Accuracy 46.75%
Epoch [1/5] | Batch #26 | Batch Accuracy 47.12%
Epoch [1/5] | Batch #27 | Batch Accuracy 47.45%
Epoch [1/5] | Batch #28 | Batch Accuracy 47.69%
Epoch [1/5] | Batch #29 | Batch Accuracy 47.84%
Epoch [1/5] | Batch #30 | Batch Accuracy 47.99%
Epoch [1/5] | Batch #31 | Batch Accuracy 48.12%
Epoch [1/5] | Batch #32 | Batch Accuracy 48.37%
Epoch [1/5] | Batch #33 | Batch Accuracy 48.23%
Epoch [1/5] | Batch #34 | Batch Accuracy 48.28%
Epoch [1/5] | Batch #35 | Batch Accuracy 48.69%
Epoch [1/5] | Batch #36 | Batch Accuracy 48.50%
Epoch [1/5] | Batch #37 | Batch Accuracy 49.27%
Epoch [1/5] | Batch #38 | Batch Accuracy 49.56%
Epoch [1/5] | Batch #39 | Batch Accuracy 49.68%
Epoch [1/5] | Batch #40 | Batch Accuracy 49.95%
Epoch [1/5] Train Loss: 1.3202 | Train Acc: 49.95% | Val Acc: 48.70% | Val Loss: 3.97%
Epoch [2/5] | Batch #41 | Batch Accuracy 58.33%
Epoch [2/5] | Batch #42 | Batch Accuracy 50.00%
Epoch [2/5] | Batch #43 | Batch Accuracy 50.00%
Epoch [2/5] | Batch #44 | Batch Accuracy 52.60%
Epoch [2/5] | Batch #45 | Batch Accuracy 55.00%
Epoch [2/5] | Batch #46 | Batch Accuracy 55.56%
Epoch [2/5] | Batch #47 | Batch Accuracy 58.04%
Epoch [2/5] | Batch #48 | Batch Accuracy 58.07%
Epoch [2/5] | Batch #49 | Batch Accuracy 57.64%
Epoch [2/5] | Batch #50 | Batch Accuracy 57.29%
Epoch [2/5] | Batch #51 | Batch Accuracy 58.71%
Epoch [2/5] | Batch #52 | Batch Accuracy 58.85%
Epoch [2/5] | Batch #53 | Batch Accuracy 59.13%
Epoch [2/5] | Batch #54 | Batch Accuracy 58.93%
Epoch [2/5] | Batch #55 | Batch Accuracy 58.89%
Epoch [2/5] | Batch #56 | Batch Accuracy 58.07%
Epoch [2/5] | Batch #57 | Batch Accuracy 58.33%
Epoch [2/5] | Batch #58 | Batch Accuracy 58.80%
Epoch [2/5] | Batch #59 | Batch Accuracy 58.33%
Epoch [2/5] | Batch #60 | Batch Accuracy 58.44%
Epoch [2/5] | Batch #61 | Batch Accuracy 59.23%
Epoch [2/5] | Batch #62 | Batch Accuracy 59.56%
Epoch [2/5] | Batch #63 | Batch Accuracy 59.78%
Epoch [2/5] | Batch #64 | Batch Accuracy 60.07%
Epoch [2/5] | Batch #65 | Batch Accuracy 59.83%
Epoch [2/5] | Batch #66 | Batch Accuracy 59.62%
Epoch [2/5] | Batch #67 | Batch Accuracy 59.49%
Epoch [2/5] | Batch #68 | Batch Accuracy 59.23%
Epoch [2/5] | Batch #69 | Batch Accuracy 58.91%
Epoch [2/5] | Batch #70 | Batch Accuracy 59.24%
Epoch [2/5] | Batch #71 | Batch Accuracy 59.61%
Epoch [2/5] | Batch #72 | Batch Accuracy 59.64%
Epoch [2/5] | Batch #73 | Batch Accuracy 60.04%
Epoch [2/5] | Batch #74 | Batch Accuracy 59.80%
Epoch [2/5] | Batch #75 | Batch Accuracy 59.64%
Epoch [2/5] | Batch #76 | Batch Accuracy 59.66%
Epoch [2/5] | Batch #77 | Batch Accuracy 59.85%
Epoch [2/5] | Batch #78 | Batch Accuracy 59.81%
Epoch [2/5] | Batch #79 | Batch Accuracy 59.99%
Epoch [2/5] | Batch #80 | Batch Accuracy 60.16%
Epoch [2/5] Train Loss: 1.0756 | Train Acc: 60.16% | Val Acc: 52.60% | Val Loss: 1.28%
Epoch [3/5] | Batch #81 | Batch Accuracy 72.92%
Epoch [3/5] | Batch #82 | Batch Accuracy 64.58%
Epoch [3/5] | Batch #83 | Batch Accuracy 62.50%
Epoch [3/5] | Batch #84 | Batch Accuracy 63.54%
Epoch [3/5] | Batch #85 | Batch Accuracy 64.17%
Epoch [3/5] | Batch #86 | Batch Accuracy 63.54%
