Epoch [1/5] | Batch #1 | Batch Accuracy 14.58%
Epoch [1/5] | Batch #2 | Batch Accuracy 17.71%
Epoch [1/5] | Batch #3 | Batch Accuracy 25.00%
Epoch [1/5] | Batch #4 | Batch Accuracy 30.73%
Epoch [1/5] | Batch #5 | Batch Accuracy 32.92%
Epoch [1/5] | Batch #6 | Batch Accuracy 35.76%
Epoch [1/5] | Batch #7 | Batch Accuracy 36.90%
Epoch [1/5] | Batch #8 | Batch Accuracy 38.54%
Epoch [1/5] | Batch #9 | Batch Accuracy 38.89%
Epoch [1/5] | Batch #10 | Batch Accuracy 38.96%
Epoch [1/5] | Batch #11 | Batch Accuracy 39.39%
Epoch [1/5] | Batch #12 | Batch Accuracy 40.28%
Epoch [1/5] | Batch #13 | Batch Accuracy 41.03%
Epoch [1/5] | Batch #14 | Batch Accuracy 41.96%
Epoch [1/5] | Batch #15 | Batch Accuracy 42.64%
Epoch [1/5] | Batch #16 | Batch Accuracy 43.23%
Epoch [1/5] | Batch #17 | Batch Accuracy 44.36%
Epoch [1/5] | Batch #18 | Batch Accuracy 45.14%
Epoch [1/5] | Batch #19 | Batch Accuracy 45.50%
Epoch [1/5] | Batch #20 | Batch Accuracy 45.62%
Epoch [1/5] | Batch #21 | Batch Accuracy 46.03%
Epoch [1/5] | Batch #22 | Batch Accuracy 46.88%
Epoch [1/5] | Batch #23 | Batch Accuracy 47.74%
Epoch [1/5] | Batch #24 | Batch Accuracy 48.61%
Epoch [1/5] | Batch #25 | Batch Accuracy 49.17%
Epoch [1/5] | Batch #26 | Batch Accuracy 49.44%
Epoch [1/5] | Batch #27 | Batch Accuracy 50.08%
Epoch [1/5] | Batch #28 | Batch Accuracy 50.37%
Epoch [1/5] | Batch #29 | Batch Accuracy 50.86%
Epoch [1/5] | Batch #30 | Batch Accuracy 51.60%
Epoch [1/5] | Batch #31 | Batch Accuracy 51.81%
Epoch [1/5] | Batch #32 | Batch Accuracy 52.02%
Epoch [1/5] | Batch #33 | Batch Accuracy 52.53%
Epoch [1/5] | Batch #34 | Batch Accuracy 52.70%
Epoch [1/5] | Batch #35 | Batch Accuracy 52.98%
Epoch [1/5] | Batch #36 | Batch Accuracy 53.36%
Epoch [1/5] | Batch #37 | Batch Accuracy 54.05%
Epoch [1/5] | Batch #38 | Batch Accuracy 54.22%
Epoch [1/5] | Batch #39 | Batch Accuracy 54.11%
Epoch [1/5] | Batch #40 | Batch Accuracy 54.17%
Epoch [1/5] Train Loss: 1.2132 | Train Acc: 54.17% | Val Acc: 37.76% | Val Loss: 2.23%
Epoch [2/5] | Batch #41 | Batch Accuracy 68.75%
Epoch [2/5] | Batch #42 | Batch Accuracy 60.42%
Epoch [2/5] | Batch #43 | Batch Accuracy 58.33%
Epoch [2/5] | Batch #44 | Batch Accuracy 59.90%
Epoch [2/5] | Batch #45 | Batch Accuracy 58.75%
Epoch [2/5] | Batch #46 | Batch Accuracy 58.68%
Epoch [2/5] | Batch #47 | Batch Accuracy 58.93%
Epoch [2/5] | Batch #48 | Batch Accuracy 59.11%
Epoch [2/5] | Batch #49 | Batch Accuracy 58.10%
Epoch [2/5] | Batch #50 | Batch Accuracy 57.92%
Epoch [2/5] | Batch #51 | Batch Accuracy 58.14%
Epoch [2/5] | Batch #52 | Batch Accuracy 58.51%
Epoch [2/5] | Batch #53 | Batch Accuracy 58.97%
Epoch [2/5] | Batch #54 | Batch Accuracy 59.23%
Epoch [2/5] | Batch #55 | Batch Accuracy 59.44%
Epoch [2/5] | Batch #56 | Batch Accuracy 58.98%
Epoch [2/5] | Batch #57 | Batch Accuracy 58.95%
Epoch [2/5] | Batch #58 | Batch Accuracy 58.22%
Epoch [2/5] | Batch #59 | Batch Accuracy 57.79%
Epoch [2/5] | Batch #60 | Batch Accuracy 58.33%
Epoch [2/5] | Batch #61 | Batch Accuracy 58.33%
Epoch [2/5] | Batch #62 | Batch Accuracy 58.52%
Epoch [2/5] | Batch #63 | Batch Accuracy 58.70%
Epoch [2/5] | Batch #64 | Batch Accuracy 59.11%
Epoch [2/5] | Batch #65 | Batch Accuracy 59.33%
Epoch [2/5] | Batch #66 | Batch Accuracy 59.78%
Epoch [2/5] | Batch #67 | Batch Accuracy 60.11%
Epoch [2/5] | Batch #68 | Batch Accuracy 60.19%
Epoch [2/5] | Batch #69 | Batch Accuracy 60.42%
Epoch [2/5] | Batch #70 | Batch Accuracy 59.86%
Epoch [2/5] | Batch #71 | Batch Accuracy 59.95%
Epoch [2/5] | Batch #72 | Batch Accuracy 60.29%
Epoch [2/5] | Batch #73 | Batch Accuracy 60.61%
Epoch [2/5] | Batch #74 | Batch Accuracy 60.85%
Epoch [2/5] | Batch #75 | Batch Accuracy 60.83%
Epoch [2/5] | Batch #76 | Batch Accuracy 61.11%
Epoch [2/5] | Batch #77 | Batch Accuracy 60.92%
Epoch [2/5] | Batch #78 | Batch Accuracy 60.80%
Epoch [2/5] | Batch #79 | Batch Accuracy 60.79%
Epoch [2/5] | Batch #80 | Batch Accuracy 60.83%
Epoch [2/5] Train Loss: 1.0202 | Train Acc: 60.83% | Val Acc: 61.20% | Val Loss: 1.40%
Epoch [3/5] | Batch #81 | Batch Accuracy 72.92%
Epoch [3/5] | Batch #82 | Batch Accuracy 73.96%
Epoch [3/5] | Batch #83 | Batch Accuracy 69.44%
Epoch [3/5] | Batch #84 | Batch Accuracy 65.10%
Epoch [3/5] | Batch #85 | Batch Accuracy 64.58%
Epoch [3/5] | Batch #86 | Batch Accuracy 64.58%
Epoch [3/5] | Batch #87 | Batch Accuracy 64.88%
Epoch [3/5] | Batch #88 | Batch Accuracy 64.58%
Epoch [3/5] | Batch #89 | Batch Accuracy 65.28%
Epoch [3/5] | Batch #90 | Batch Accuracy 65.62%
Epoch [3/5] | Batch #91 | Batch Accuracy 65.15%
Epoch [3/5] | Batch #92 | Batch Accuracy 64.41%
Epoch [3/5] | Batch #93 | Batch Accuracy 64.74%
Epoch [3/5] | Batch #94 | Batch Accuracy 65.18%
Epoch [3/5] | Batch #95 | Batch Accuracy 65.69%
Epoch [3/5] | Batch #96 | Batch Accuracy 65.23%
Epoch [3/5] | Batch #97 | Batch Accuracy 65.20%
Epoch [3/5] | Batch #98 | Batch Accuracy 65.39%
Epoch [3/5] | Batch #99 | Batch Accuracy 65.68%
Epoch [3/5] | Batch #100 | Batch Accuracy 65.94%
Epoch [3/5] | Batch #101 | Batch Accuracy 65.67%
Epoch [3/5] | Batch #102 | Batch Accuracy 65.44%
Epoch [3/5] | Batch #103 | Batch Accuracy 65.40%
Epoch [3/5] | Batch #104 | Batch Accuracy 65.54%
Epoch [3/5] | Batch #105 | Batch Accuracy 65.33%
Epoch [3/5] | Batch #106 | Batch Accuracy 65.38%
Epoch [3/5] | Batch #107 | Batch Accuracy 65.43%
Epoch [3/5] | Batch #108 | Batch Accuracy 65.40%
Epoch [3/5] | Batch #109 | Batch Accuracy 65.66%
Epoch [3/5] | Batch #110 | Batch Accuracy 65.90%
Epoch [3/5] | Batch #111 | Batch Accuracy 65.93%
Epoch [3/5] | Batch #112 | Batch Accuracy 66.15%
Epoch [3/5] | Batch #113 | Batch Accuracy 66.35%
Epoch [3/5] | Batch #114 | Batch Accuracy 66.54%
Epoch [3/5] | Batch #115 | Batch Accuracy 66.55%
Epoch [3/5] | Batch #116 | Batch Accuracy 66.55%
Epoch [3/5] | Batch #117 | Batch Accuracy 66.72%
Epoch [3/5] | Batch #118 | Batch Accuracy 66.67%
Epoch [3/5] | Batch #119 | Batch Accuracy 66.88%
Epoch [3/5] | Batch #120 | Batch Accuracy 67.14%
Epoch [3/5] Train Loss: 0.8998 | Train Acc: 67.14% | Val Acc: 51.30% | Val Loss: 1.42%
Epoch [4/5] | Batch #121 | Batch Accuracy 72.92%
Epoch [4/5] | Batch #122 | Batch Accuracy 71.88%
Epoch [4/5] | Batch #123 | Batch Accuracy 70.14%
Epoch [4/5] | Batch #124 | Batch Accuracy 69.27%
Epoch [4/5] | Batch #125 | Batch Accuracy 68.33%
Epoch [4/5] | Batch #126 | Batch Accuracy 68.40%
Epoch [4/5] | Batch #127 | Batch Accuracy 68.75%
Epoch [4/5] | Batch #128 | Batch Accuracy 69.79%
Epoch [4/5] | Batch #129 | Batch Accuracy 69.21%
Epoch [4/5] | Batch #130 | Batch Accuracy 69.58%
Epoch [4/5] | Batch #131 | Batch Accuracy 68.75%
Epoch [4/5] | Batch #132 | Batch Accuracy 68.58%
Epoch [4/5] | Batch #133 | Batch Accuracy 68.59%
Epoch [4/5] | Batch #134 | Batch Accuracy 68.75%
