Epoch [1/5] | Batch #1 | Batch Accuracy 16.67%
Epoch [1/5] | Batch #2 | Batch Accuracy 20.83%
Epoch [1/5] | Batch #3 | Batch Accuracy 25.69%
Epoch [1/5] | Batch #4 | Batch Accuracy 23.96%
Epoch [1/5] | Batch #5 | Batch Accuracy 23.75%
Epoch [1/5] | Batch #6 | Batch Accuracy 26.74%
Epoch [1/5] | Batch #7 | Batch Accuracy 27.98%
Epoch [1/5] | Batch #8 | Batch Accuracy 30.99%
Epoch [1/5] | Batch #9 | Batch Accuracy 33.56%
Epoch [1/5] | Batch #10 | Batch Accuracy 35.00%
Epoch [1/5] | Batch #11 | Batch Accuracy 36.36%
Epoch [1/5] | Batch #12 | Batch Accuracy 38.02%
Epoch [1/5] | Batch #13 | Batch Accuracy 39.90%
Epoch [1/5] | Batch #14 | Batch Accuracy 40.03%
Epoch [1/5] | Batch #15 | Batch Accuracy 41.67%
Epoch [1/5] | Batch #16 | Batch Accuracy 43.23%
Epoch [1/5] | Batch #17 | Batch Accuracy 44.00%
Epoch [1/5] | Batch #18 | Batch Accuracy 44.56%
Epoch [1/5] | Batch #19 | Batch Accuracy 44.41%
Epoch [1/5] | Batch #20 | Batch Accuracy 44.58%
Epoch [1/5] | Batch #21 | Batch Accuracy 44.94%
Epoch [1/5] | Batch #22 | Batch Accuracy 45.93%
Epoch [1/5] | Batch #23 | Batch Accuracy 46.11%
Epoch [1/5] | Batch #24 | Batch Accuracy 46.79%
Epoch [1/5] | Batch #25 | Batch Accuracy 47.08%
Epoch [1/5] | Batch #26 | Batch Accuracy 47.68%
Epoch [1/5] | Batch #27 | Batch Accuracy 48.15%
Epoch [1/5] | Batch #28 | Batch Accuracy 48.59%
Epoch [1/5] | Batch #29 | Batch Accuracy 49.21%
Epoch [1/5] | Batch #30 | Batch Accuracy 49.79%
Epoch [1/5] | Batch #31 | Batch Accuracy 49.80%
Epoch [1/5] | Batch #32 | Batch Accuracy 49.80%
Epoch [1/5] | Batch #33 | Batch Accuracy 50.44%
Epoch [1/5] | Batch #34 | Batch Accuracy 51.04%
Epoch [1/5] | Batch #35 | Batch Accuracy 51.55%
Epoch [1/5] | Batch #36 | Batch Accuracy 52.03%
Epoch [1/5] | Batch #37 | Batch Accuracy 51.97%
Epoch [1/5] | Batch #38 | Batch Accuracy 52.08%
Epoch [1/5] | Batch #39 | Batch Accuracy 52.35%
Epoch [1/5] | Batch #40 | Batch Accuracy 52.71%
Epoch [1/5] Train Loss: 1.2512 | Train Acc: 52.71% | Val Acc: 30.47% | Val Loss: 2.36%
Epoch [2/5] | Batch #41 | Batch Accuracy 64.58%
Epoch [2/5] | Batch #42 | Batch Accuracy 61.46%
Epoch [2/5] | Batch #43 | Batch Accuracy 60.42%
Epoch [2/5] | Batch #44 | Batch Accuracy 61.98%
Epoch [2/5] | Batch #45 | Batch Accuracy 60.42%
Epoch [2/5] | Batch #46 | Batch Accuracy 59.38%
Epoch [2/5] | Batch #47 | Batch Accuracy 58.93%
Epoch [2/5] | Batch #48 | Batch Accuracy 58.07%
Epoch [2/5] | Batch #49 | Batch Accuracy 58.10%
Epoch [2/5] | Batch #50 | Batch Accuracy 56.88%
Epoch [2/5] | Batch #51 | Batch Accuracy 57.20%
Epoch [2/5] | Batch #52 | Batch Accuracy 57.12%
Epoch [2/5] | Batch #53 | Batch Accuracy 58.33%
Epoch [2/5] | Batch #54 | Batch Accuracy 58.63%
Epoch [2/5] | Batch #55 | Batch Accuracy 59.03%
Epoch [2/5] | Batch #56 | Batch Accuracy 59.77%
Epoch [2/5] | Batch #57 | Batch Accuracy 59.56%
Epoch [2/5] | Batch #58 | Batch Accuracy 59.49%
Epoch [2/5] | Batch #59 | Batch Accuracy 59.87%
Epoch [2/5] | Batch #60 | Batch Accuracy 60.52%
Epoch [2/5] | Batch #61 | Batch Accuracy 60.81%
Epoch [2/5] | Batch #62 | Batch Accuracy 60.98%
Epoch [2/5] | Batch #63 | Batch Accuracy 61.50%
Epoch [2/5] | Batch #64 | Batch Accuracy 61.81%
Epoch [2/5] | Batch #65 | Batch Accuracy 61.17%
Epoch [2/5] | Batch #66 | Batch Accuracy 61.46%
Epoch [2/5] | Batch #67 | Batch Accuracy 61.65%
Epoch [2/5] | Batch #68 | Batch Accuracy 61.61%
Epoch [2/5] | Batch #69 | Batch Accuracy 61.93%
Epoch [2/5] | Batch #70 | Batch Accuracy 61.60%
Epoch [2/5] | Batch #71 | Batch Accuracy 61.63%
Epoch [2/5] | Batch #72 | Batch Accuracy 62.04%
Epoch [2/5] | Batch #73 | Batch Accuracy 62.06%
Epoch [2/5] | Batch #74 | Batch Accuracy 62.07%
Epoch [2/5] | Batch #75 | Batch Accuracy 61.90%
Epoch [2/5] | Batch #76 | Batch Accuracy 62.09%
Epoch [2/5] | Batch #77 | Batch Accuracy 62.22%
Epoch [2/5] | Batch #78 | Batch Accuracy 62.34%
Epoch [2/5] | Batch #79 | Batch Accuracy 62.34%
Epoch [2/5] | Batch #80 | Batch Accuracy 62.24%
Epoch [2/5] Train Loss: 0.9925 | Train Acc: 62.24% | Val Acc: 39.58% | Val Loss: 2.32%
Epoch [3/5] | Batch #81 | Batch Accuracy 62.50%
Epoch [3/5] | Batch #82 | Batch Accuracy 64.58%
Epoch [3/5] | Batch #83 | Batch Accuracy 68.75%
Epoch [3/5] | Batch #84 | Batch Accuracy 67.19%
Epoch [3/5] | Batch #85 | Batch Accuracy 65.00%
Epoch [3/5] | Batch #86 | Batch Accuracy 64.93%
Epoch [3/5] | Batch #87 | Batch Accuracy 64.88%
Epoch [3/5] | Batch #88 | Batch Accuracy 65.36%
Epoch [3/5] | Batch #89 | Batch Accuracy 65.51%
Epoch [3/5] | Batch #90 | Batch Accuracy 66.04%
Epoch [3/5] | Batch #91 | Batch Accuracy 66.10%
Epoch [3/5] | Batch #92 | Batch Accuracy 65.45%
Epoch [3/5] | Batch #93 | Batch Accuracy 65.87%
Epoch [3/5] | Batch #94 | Batch Accuracy 65.33%
Epoch [3/5] | Batch #95 | Batch Accuracy 65.56%
Epoch [3/5] | Batch #96 | Batch Accuracy 65.89%
Epoch [3/5] | Batch #97 | Batch Accuracy 65.81%
Epoch [3/5] | Batch #98 | Batch Accuracy 65.86%
Epoch [3/5] | Batch #99 | Batch Accuracy 66.34%
Epoch [3/5] | Batch #100 | Batch Accuracy 66.98%
Epoch [3/5] | Batch #101 | Batch Accuracy 67.66%
Epoch [3/5] | Batch #102 | Batch Accuracy 67.52%
Epoch [3/5] | Batch #103 | Batch Accuracy 67.48%
Epoch [3/5] | Batch #104 | Batch Accuracy 67.36%
