Epoch [1/5] | Batch #1 | Batch Accuracy 22.92%
Epoch [1/5] | Batch #2 | Batch Accuracy 42.71%
Epoch [1/5] | Batch #3 | Batch Accuracy 52.08%
Epoch [1/5] | Batch #4 | Batch Accuracy 59.38%
Epoch [1/5] | Batch #5 | Batch Accuracy 63.33%
Epoch [1/5] | Batch #6 | Batch Accuracy 67.71%
Epoch [1/5] | Batch #7 | Batch Accuracy 70.54%
Epoch [1/5] | Batch #8 | Batch Accuracy 71.88%
Epoch [1/5] | Batch #9 | Batch Accuracy 72.45%
Epoch [1/5] | Batch #10 | Batch Accuracy 74.17%
Epoch [1/5] | Batch #11 | Batch Accuracy 75.19%
Epoch [1/5] | Batch #12 | Batch Accuracy 75.35%
Epoch [1/5] | Batch #13 | Batch Accuracy 75.80%
Epoch [1/5] | Batch #14 | Batch Accuracy 76.49%
Epoch [1/5] | Batch #15 | Batch Accuracy 77.64%
Epoch [1/5] | Batch #16 | Batch Accuracy 77.86%
Epoch [1/5] | Batch #17 | Batch Accuracy 77.94%
Epoch [1/5] | Batch #18 | Batch Accuracy 77.43%
Epoch [1/5] | Batch #19 | Batch Accuracy 77.30%
Epoch [1/5] | Batch #20 | Batch Accuracy 77.92%
Epoch [1/5] | Batch #21 | Batch Accuracy 78.87%
Epoch [1/5] | Batch #22 | Batch Accuracy 79.07%
Epoch [1/5] | Batch #23 | Batch Accuracy 78.99%
Epoch [1/5] | Batch #24 | Batch Accuracy 79.17%
Epoch [1/5] | Batch #25 | Batch Accuracy 79.42%
Epoch [1/5] | Batch #26 | Batch Accuracy 79.57%
Epoch [1/5] | Batch #27 | Batch Accuracy 79.32%
Epoch [1/5] | Batch #28 | Batch Accuracy 79.54%
Epoch [1/5] | Batch #29 | Batch Accuracy 79.81%
Epoch [1/5] | Batch #30 | Batch Accuracy 79.86%
Epoch [1/5] | Batch #31 | Batch Accuracy 80.04%
Epoch [1/5] | Batch #32 | Batch Accuracy 80.27%
Epoch [1/5] | Batch #33 | Batch Accuracy 80.43%
Epoch [1/5] | Batch #34 | Batch Accuracy 80.82%
Epoch [1/5] | Batch #35 | Batch Accuracy 81.01%
Epoch [1/5] | Batch #36 | Batch Accuracy 81.25%
Epoch [1/5] | Batch #37 | Batch Accuracy 81.48%
Epoch [1/5] | Batch #38 | Batch Accuracy 81.52%
Epoch [1/5] | Batch #39 | Batch Accuracy 81.94%
Epoch [1/5] | Batch #40 | Batch Accuracy 82.03%
