Epoch [1/5] | Batch #1 | Batch Accuracy 18.75%
Epoch [1/5] | Batch #2 | Batch Accuracy 30.21%
Epoch [1/5] | Batch #3 | Batch Accuracy 38.89%
Epoch [1/5] | Batch #4 | Batch Accuracy 45.83%
Epoch [1/5] | Batch #5 | Batch Accuracy 51.67%
Epoch [1/5] | Batch #6 | Batch Accuracy 53.82%
Epoch [1/5] | Batch #7 | Batch Accuracy 56.85%
Epoch [1/5] | Batch #8 | Batch Accuracy 58.59%
Epoch [1/5] | Batch #9 | Batch Accuracy 61.34%
Epoch [1/5] | Batch #10 | Batch Accuracy 63.33%
Epoch [1/5] | Batch #11 | Batch Accuracy 64.77%
Epoch [1/5] | Batch #12 | Batch Accuracy 66.15%
Epoch [1/5] | Batch #13 | Batch Accuracy 66.35%
Epoch [1/5] | Batch #14 | Batch Accuracy 68.01%
Epoch [1/5] | Batch #15 | Batch Accuracy 69.17%
Epoch [1/5] | Batch #16 | Batch Accuracy 69.79%
Epoch [1/5] | Batch #17 | Batch Accuracy 69.85%
Epoch [1/5] | Batch #18 | Batch Accuracy 70.60%
Epoch [1/5] | Batch #19 | Batch Accuracy 70.94%
Epoch [1/5] | Batch #20 | Batch Accuracy 71.67%
Epoch [1/5] | Batch #21 | Batch Accuracy 72.12%
Epoch [1/5] | Batch #22 | Batch Accuracy 72.35%
Epoch [1/5] | Batch #23 | Batch Accuracy 72.28%
Epoch [1/5] | Batch #24 | Batch Accuracy 72.57%
Epoch [1/5] | Batch #25 | Batch Accuracy 72.58%
Epoch [1/5] | Batch #26 | Batch Accuracy 72.68%
Epoch [1/5] | Batch #27 | Batch Accuracy 72.99%
Epoch [1/5] | Batch #28 | Batch Accuracy 73.44%
Epoch [1/5] | Batch #29 | Batch Accuracy 73.78%
Epoch [1/5] | Batch #30 | Batch Accuracy 74.24%
Epoch [1/5] | Batch #31 | Batch Accuracy 74.66%
Epoch [1/5] | Batch #32 | Batch Accuracy 75.07%
Epoch [1/5] | Batch #33 | Batch Accuracy 75.06%
Epoch [1/5] | Batch #34 | Batch Accuracy 75.06%
Epoch [1/5] | Batch #35 | Batch Accuracy 75.24%
Epoch [1/5] | Batch #36 | Batch Accuracy 75.58%
Epoch [1/5] | Batch #37 | Batch Accuracy 75.56%
Epoch [1/5] | Batch #38 | Batch Accuracy 76.04%
Epoch [1/5] | Batch #39 | Batch Accuracy 76.28%
Epoch [1/5] | Batch #40 | Batch Accuracy 76.41%
Epoch [1/5] Train Loss: 0.6199 | Train Acc: 76.41% | Val Acc: 80.99% | Val Loss: 0.68%
Epoch [2/5] | Batch #41 | Batch Accuracy 89.58%
Epoch [2/5] | Batch #42 | Batch Accuracy 90.62%
Epoch [2/5] | Batch #43 | Batch Accuracy 91.67%
Epoch [2/5] | Batch #44 | Batch Accuracy 89.58%
Epoch [2/5] | Batch #45 | Batch Accuracy 90.83%
Epoch [2/5] | Batch #46 | Batch Accuracy 89.24%
Epoch [2/5] | Batch #47 | Batch Accuracy 88.99%
Epoch [2/5] | Batch #48 | Batch Accuracy 88.02%
Epoch [2/5] | Batch #49 | Batch Accuracy 88.43%
Epoch [2/5] | Batch #50 | Batch Accuracy 88.96%
Epoch [2/5] | Batch #51 | Batch Accuracy 88.83%
Epoch [2/5] | Batch #52 | Batch Accuracy 88.54%
Epoch [2/5] | Batch #53 | Batch Accuracy 88.62%
Epoch [2/5] | Batch #54 | Batch Accuracy 88.99%
Epoch [2/5] | Batch #55 | Batch Accuracy 88.47%
Epoch [2/5] | Batch #56 | Batch Accuracy 88.93%
Epoch [2/5] | Batch #57 | Batch Accuracy 89.34%
Epoch [2/5] | Batch #58 | Batch Accuracy 89.00%
Epoch [2/5] | Batch #59 | Batch Accuracy 89.04%
