Epoch [1/5] | Batch #1 | Batch Accuracy 27.08%
Epoch [1/5] | Batch #2 | Batch Accuracy 31.25%
Epoch [1/5] | Batch #3 | Batch Accuracy 39.58%
Epoch [1/5] | Batch #4 | Batch Accuracy 39.58%
Epoch [1/5] | Batch #5 | Batch Accuracy 40.00%
Epoch [1/5] | Batch #6 | Batch Accuracy 45.14%
Epoch [1/5] | Batch #7 | Batch Accuracy 48.21%
Epoch [1/5] | Batch #8 | Batch Accuracy 50.52%
Epoch [1/5] | Batch #9 | Batch Accuracy 52.08%
Epoch [1/5] | Batch #10 | Batch Accuracy 54.79%
Epoch [1/5] | Batch #11 | Batch Accuracy 56.44%
Epoch [1/5] | Batch #12 | Batch Accuracy 57.99%
Epoch [1/5] | Batch #13 | Batch Accuracy 57.53%
Epoch [1/5] | Batch #14 | Batch Accuracy 58.93%
Epoch [1/5] | Batch #15 | Batch Accuracy 59.86%
Epoch [1/5] | Batch #16 | Batch Accuracy 60.55%
Epoch [1/5] | Batch #17 | Batch Accuracy 61.03%
Epoch [1/5] | Batch #18 | Batch Accuracy 61.46%
Epoch [1/5] | Batch #19 | Batch Accuracy 61.84%
Epoch [1/5] | Batch #20 | Batch Accuracy 62.40%
Epoch [1/5] | Batch #21 | Batch Accuracy 63.19%
Epoch [1/5] | Batch #22 | Batch Accuracy 63.73%
Epoch [1/5] | Batch #23 | Batch Accuracy 64.31%
Epoch [1/5] | Batch #24 | Batch Accuracy 64.50%
Epoch [1/5] | Batch #25 | Batch Accuracy 64.83%
Epoch [1/5] | Batch #26 | Batch Accuracy 65.06%
Epoch [1/5] | Batch #27 | Batch Accuracy 64.97%
Epoch [1/5] | Batch #28 | Batch Accuracy 65.33%
Epoch [1/5] | Batch #29 | Batch Accuracy 65.88%
Epoch [1/5] | Batch #30 | Batch Accuracy 66.04%
Epoch [1/5] | Batch #31 | Batch Accuracy 66.06%
Epoch [1/5] | Batch #32 | Batch Accuracy 66.60%
Epoch [1/5] | Batch #33 | Batch Accuracy 67.05%
Epoch [1/5] | Batch #34 | Batch Accuracy 67.22%
Epoch [1/5] | Batch #35 | Batch Accuracy 67.26%
Epoch [1/5] | Batch #36 | Batch Accuracy 67.77%
Epoch [1/5] | Batch #37 | Batch Accuracy 67.85%
Epoch [1/5] | Batch #38 | Batch Accuracy 68.04%
Epoch [1/5] | Batch #39 | Batch Accuracy 68.22%
Epoch [1/5] | Batch #40 | Batch Accuracy 68.70%
Epoch [1/5] Train Loss: 0.8258 | Train Acc: 68.70% | Val Acc: 76.82% | Val Loss: 0.68%
Epoch [2/5] | Batch #41 | Batch Accuracy 79.17%
Epoch [2/5] | Batch #42 | Batch Accuracy 78.12%
Epoch [2/5] | Batch #43 | Batch Accuracy 78.47%
Epoch [2/5] | Batch #44 | Batch Accuracy 80.73%
Epoch [2/5] | Batch #45 | Batch Accuracy 79.17%
Epoch [2/5] | Batch #46 | Batch Accuracy 79.17%
Epoch [2/5] | Batch #47 | Batch Accuracy 80.65%
Epoch [2/5] | Batch #48 | Batch Accuracy 80.47%
Epoch [2/5] | Batch #49 | Batch Accuracy 80.09%
Epoch [2/5] | Batch #50 | Batch Accuracy 80.00%
Epoch [2/5] | Batch #51 | Batch Accuracy 80.11%
Epoch [2/5] | Batch #52 | Batch Accuracy 80.56%
Epoch [2/5] | Batch #53 | Batch Accuracy 81.25%
Epoch [2/5] | Batch #54 | Batch Accuracy 81.70%
Epoch [2/5] | Batch #55 | Batch Accuracy 81.53%
Epoch [2/5] | Batch #56 | Batch Accuracy 80.99%
Epoch [2/5] | Batch #57 | Batch Accuracy 80.64%
Epoch [2/5] | Batch #58 | Batch Accuracy 81.25%
Epoch [2/5] | Batch #59 | Batch Accuracy 81.58%
Epoch [2/5] | Batch #60 | Batch Accuracy 82.08%
Epoch [2/5] | Batch #61 | Batch Accuracy 82.04%
Epoch [2/5] | Batch #62 | Batch Accuracy 82.20%
Epoch [2/5] | Batch #63 | Batch Accuracy 82.25%
Epoch [2/5] | Batch #64 | Batch Accuracy 82.29%
Epoch [2/5] | Batch #65 | Batch Accuracy 82.83%
Epoch [2/5] | Batch #66 | Batch Accuracy 82.69%
Epoch [2/5] | Batch #67 | Batch Accuracy 82.87%
Epoch [2/5] | Batch #68 | Batch Accuracy 82.81%
Epoch [2/5] | Batch #69 | Batch Accuracy 82.83%
Epoch [2/5] | Batch #70 | Batch Accuracy 82.71%
Epoch [2/5] | Batch #71 | Batch Accuracy 82.93%
Epoch [2/5] | Batch #72 | Batch Accuracy 82.94%
Epoch [2/5] | Batch #73 | Batch Accuracy 83.14%
Epoch [2/5] | Batch #74 | Batch Accuracy 83.27%
Epoch [2/5] | Batch #75 | Batch Accuracy 83.39%
Epoch [2/5] | Batch #76 | Batch Accuracy 83.33%
Epoch [2/5] | Batch #77 | Batch Accuracy 83.50%
Epoch [2/5] | Batch #78 | Batch Accuracy 83.77%
Epoch [2/5] | Batch #79 | Batch Accuracy 83.65%
Epoch [2/5] | Batch #80 | Batch Accuracy 83.44%
Epoch [2/5] Train Loss: 0.4674 | Train Acc: 83.44% | Val Acc: 84.90% | Val Loss: 0.44%
Epoch [3/5] | Batch #81 | Batch Accuracy 79.17%
Epoch [3/5] | Batch #82 | Batch Accuracy 87.50%
Epoch [3/5] | Batch #83 | Batch Accuracy 86.11%
Epoch [3/5] | Batch #84 | Batch Accuracy 84.90%
Epoch [3/5] | Batch #85 | Batch Accuracy 83.75%
Epoch [3/5] | Batch #86 | Batch Accuracy 84.03%
Epoch [3/5] | Batch #87 | Batch Accuracy 85.12%
Epoch [3/5] | Batch #88 | Batch Accuracy 84.11%
Epoch [3/5] | Batch #89 | Batch Accuracy 84.26%
Epoch [3/5] | Batch #90 | Batch Accuracy 83.33%
Epoch [3/5] | Batch #91 | Batch Accuracy 83.14%
Epoch [3/5] | Batch #92 | Batch Accuracy 83.51%
Epoch [3/5] | Batch #93 | Batch Accuracy 83.33%
Epoch [3/5] | Batch #94 | Batch Accuracy 82.89%
Epoch [3/5] | Batch #95 | Batch Accuracy 83.06%
Epoch [3/5] | Batch #96 | Batch Accuracy 83.20%
Epoch [3/5] | Batch #97 | Batch Accuracy 83.09%
Epoch [3/5] | Batch #98 | Batch Accuracy 83.68%
Epoch [3/5] | Batch #99 | Batch Accuracy 83.99%
Epoch [3/5] | Batch #100 | Batch Accuracy 84.48%
Epoch [3/5] | Batch #101 | Batch Accuracy 84.72%
Epoch [3/5] | Batch #102 | Batch Accuracy 84.75%
Epoch [3/5] | Batch #103 | Batch Accuracy 84.96%
Epoch [3/5] | Batch #104 | Batch Accuracy 85.16%
Epoch [3/5] | Batch #105 | Batch Accuracy 85.25%
Epoch [3/5] | Batch #106 | Batch Accuracy 85.26%
Epoch [3/5] | Batch #107 | Batch Accuracy 85.34%
Epoch [3/5] | Batch #108 | Batch Accuracy 85.19%
Epoch [3/5] | Batch #109 | Batch Accuracy 85.20%
Epoch [3/5] | Batch #110 | Batch Accuracy 85.28%
Epoch [3/5] | Batch #111 | Batch Accuracy 85.55%
Epoch [3/5] | Batch #112 | Batch Accuracy 85.68%
Epoch [3/5] | Batch #113 | Batch Accuracy 85.92%
Epoch [3/5] | Batch #114 | Batch Accuracy 85.97%
Epoch [3/5] | Batch #115 | Batch Accuracy 86.01%
Epoch [3/5] | Batch #116 | Batch Accuracy 86.11%
Epoch [3/5] | Batch #117 | Batch Accuracy 86.09%
Epoch [3/5] | Batch #118 | Batch Accuracy 85.96%
Epoch [3/5] | Batch #119 | Batch Accuracy 86.11%
Epoch [3/5] | Batch #120 | Batch Accuracy 86.30%
Epoch [3/5] Train Loss: 0.3813 | Train Acc: 86.30% | Val Acc: 84.90% | Val Loss: 0.41%
Epoch [4/5] | Batch #121 | Batch Accuracy 95.83%
Epoch [4/5] | Batch #122 | Batch Accuracy 89.58%
Epoch [4/5] | Batch #123 | Batch Accuracy 93.06%
Epoch [4/5] | Batch #124 | Batch Accuracy 91.15%
Epoch [4/5] | Batch #125 | Batch Accuracy 90.00%
Epoch [4/5] | Batch #126 | Batch Accuracy 88.89%
Epoch [4/5] | Batch #127 | Batch Accuracy 89.58%
Epoch [4/5] | Batch #128 | Batch Accuracy 89.32%
Epoch [4/5] | Batch #129 | Batch Accuracy 87.96%
Epoch [4/5] | Batch #130 | Batch Accuracy 87.92%
Epoch [4/5] | Batch #131 | Batch Accuracy 88.07%
Epoch [4/5] | Batch #132 | Batch Accuracy 88.37%
Epoch [4/5] | Batch #133 | Batch Accuracy 88.46%
Epoch [4/5] | Batch #134 | Batch Accuracy 88.99%
Epoch [4/5] | Batch #135 | Batch Accuracy 88.75%
Epoch [4/5] | Batch #136 | Batch Accuracy 89.06%
Epoch [4/5] | Batch #137 | Batch Accuracy 89.09%
Epoch [4/5] | Batch #138 | Batch Accuracy 89.24%
Epoch [4/5] | Batch #139 | Batch Accuracy 89.25%
Epoch [4/5] | Batch #140 | Batch Accuracy 89.17%
Epoch [4/5] | Batch #141 | Batch Accuracy 89.29%
Epoch [4/5] | Batch #142 | Batch Accuracy 88.92%
Epoch [4/5] | Batch #143 | Batch Accuracy 89.04%
Epoch [4/5] | Batch #144 | Batch Accuracy 89.24%
Epoch [4/5] | Batch #145 | Batch Accuracy 89.33%
Epoch [4/5] | Batch #146 | Batch Accuracy 89.26%
Epoch [4/5] | Batch #147 | Batch Accuracy 89.27%
Epoch [4/5] | Batch #148 | Batch Accuracy 89.51%
Epoch [4/5] | Batch #149 | Batch Accuracy 89.58%
Epoch [4/5] | Batch #150 | Batch Accuracy 89.72%
Epoch [4/5] | Batch #151 | Batch Accuracy 89.92%
Epoch [4/5] | Batch #152 | Batch Accuracy 89.58%
Epoch [4/5] | Batch #153 | Batch Accuracy 89.52%
Epoch [4/5] | Batch #154 | Batch Accuracy 89.52%
Epoch [4/5] | Batch #155 | Batch Accuracy 89.58%
Epoch [4/5] | Batch #156 | Batch Accuracy 89.64%
Epoch [4/5] | Batch #157 | Batch Accuracy 89.86%
Epoch [4/5] | Batch #158 | Batch Accuracy 89.86%
Epoch [4/5] | Batch #159 | Batch Accuracy 89.90%
Epoch [4/5] | Batch #160 | Batch Accuracy 89.84%
Epoch [4/5] Train Loss: 0.2931 | Train Acc: 89.84% | Val Acc: 79.43% | Val Loss: 0.60%
Epoch [5/5] | Batch #161 | Batch Accuracy 87.50%
Epoch [5/5] | Batch #162 | Batch Accuracy 88.54%
Epoch [5/5] | Batch #163 | Batch Accuracy 86.11%
Epoch [5/5] | Batch #164 | Batch Accuracy 85.94%
Epoch [5/5] | Batch #165 | Batch Accuracy 86.25%
Epoch [5/5] | Batch #166 | Batch Accuracy 87.85%
Epoch [5/5] | Batch #167 | Batch Accuracy 87.50%
Epoch [5/5] | Batch #168 | Batch Accuracy 88.02%
Epoch [5/5] | Batch #169 | Batch Accuracy 88.43%
Epoch [5/5] | Batch #170 | Batch Accuracy 88.12%
Epoch [5/5] | Batch #171 | Batch Accuracy 87.88%
Epoch [5/5] | Batch #172 | Batch Accuracy 88.37%
Epoch [5/5] | Batch #173 | Batch Accuracy 87.98%
Epoch [5/5] | Batch #174 | Batch Accuracy 88.39%
Epoch [5/5] | Batch #175 | Batch Accuracy 88.06%
Epoch [5/5] | Batch #176 | Batch Accuracy 88.15%
Epoch [5/5] | Batch #177 | Batch Accuracy 88.11%
Epoch [5/5] | Batch #178 | Batch Accuracy 88.43%
Epoch [5/5] | Batch #179 | Batch Accuracy 88.71%
Epoch [5/5] | Batch #180 | Batch Accuracy 88.85%
Epoch [5/5] | Batch #181 | Batch Accuracy 88.69%
Epoch [5/5] | Batch #182 | Batch Accuracy 88.54%
Epoch [5/5] | Batch #183 | Batch Accuracy 88.59%
Epoch [5/5] | Batch #184 | Batch Accuracy 88.63%
Epoch [5/5] | Batch #185 | Batch Accuracy 89.00%
Epoch [5/5] | Batch #186 | Batch Accuracy 89.10%
Epoch [5/5] | Batch #187 | Batch Accuracy 89.04%
Epoch [5/5] | Batch #188 | Batch Accuracy 89.21%
Epoch [5/5] | Batch #189 | Batch Accuracy 89.15%
Epoch [5/5] | Batch #190 | Batch Accuracy 89.24%
