Epoch [1/5] | Batch #1 | Batch Accuracy 6.25%
Epoch [1/5] | Batch #2 | Batch Accuracy 31.25%
Epoch [1/5] | Batch #3 | Batch Accuracy 44.44%
Epoch [1/5] | Batch #4 | Batch Accuracy 53.12%
Epoch [1/5] | Batch #5 | Batch Accuracy 60.42%
Epoch [1/5] | Batch #6 | Batch Accuracy 62.50%
Epoch [1/5] | Batch #7 | Batch Accuracy 65.77%
Epoch [1/5] | Batch #8 | Batch Accuracy 68.75%
Epoch [1/5] | Batch #9 | Batch Accuracy 71.30%
Epoch [1/5] | Batch #10 | Batch Accuracy 73.33%
Epoch [1/5] | Batch #11 | Batch Accuracy 74.24%
Epoch [1/5] | Batch #12 | Batch Accuracy 74.65%
Epoch [1/5] | Batch #13 | Batch Accuracy 75.96%
Epoch [1/5] | Batch #14 | Batch Accuracy 77.23%
Epoch [1/5] | Batch #15 | Batch Accuracy 77.64%
Epoch [1/5] | Batch #16 | Batch Accuracy 78.65%
Epoch [1/5] | Batch #17 | Batch Accuracy 79.29%
Epoch [1/5] | Batch #18 | Batch Accuracy 79.75%
Epoch [1/5] | Batch #19 | Batch Accuracy 80.26%
Epoch [1/5] | Batch #20 | Batch Accuracy 80.52%
Epoch [1/5] | Batch #21 | Batch Accuracy 81.15%
Epoch [1/5] | Batch #22 | Batch Accuracy 81.34%
Epoch [1/5] | Batch #23 | Batch Accuracy 81.61%
Epoch [1/5] | Batch #24 | Batch Accuracy 82.12%
Epoch [1/5] | Batch #25 | Batch Accuracy 82.08%
Epoch [1/5] | Batch #26 | Batch Accuracy 82.37%
Epoch [1/5] | Batch #27 | Batch Accuracy 82.95%
Epoch [1/5] | Batch #28 | Batch Accuracy 83.11%
Epoch [1/5] | Batch #29 | Batch Accuracy 83.41%
Epoch [1/5] | Batch #30 | Batch Accuracy 83.47%
Epoch [1/5] | Batch #31 | Batch Accuracy 83.60%
Epoch [1/5] | Batch #32 | Batch Accuracy 83.79%
Epoch [1/5] | Batch #33 | Batch Accuracy 83.96%
Epoch [1/5] | Batch #34 | Batch Accuracy 84.13%
Epoch [1/5] | Batch #35 | Batch Accuracy 84.40%
Epoch [1/5] | Batch #36 | Batch Accuracy 84.55%
Epoch [1/5] | Batch #37 | Batch Accuracy 84.91%
Epoch [1/5] | Batch #38 | Batch Accuracy 85.20%
Epoch [1/5] | Batch #39 | Batch Accuracy 85.36%
Epoch [1/5] | Batch #40 | Batch Accuracy 85.52%
Epoch [1/5] Train Loss: 0.4281 | Train Acc: 85.52% | Val Acc: 82.81% | Val Loss: 0.45%
Epoch [2/5] | Batch #41 | Batch Accuracy 93.75%
Epoch [2/5] | Batch #42 | Batch Accuracy 93.75%
Epoch [2/5] | Batch #43 | Batch Accuracy 94.44%
Epoch [2/5] | Batch #44 | Batch Accuracy 94.27%
Epoch [2/5] | Batch #45 | Batch Accuracy 93.75%
Epoch [2/5] | Batch #46 | Batch Accuracy 94.10%
Epoch [2/5] | Batch #47 | Batch Accuracy 93.75%
Epoch [2/5] | Batch #48 | Batch Accuracy 93.75%
Epoch [2/5] | Batch #49 | Batch Accuracy 93.75%
Epoch [2/5] | Batch #50 | Batch Accuracy 94.38%
Epoch [2/5] | Batch #51 | Batch Accuracy 94.32%
Epoch [2/5] | Batch #52 | Batch Accuracy 94.44%
Epoch [2/5] | Batch #53 | Batch Accuracy 94.71%
Epoch [2/5] | Batch #54 | Batch Accuracy 95.09%
Epoch [2/5] | Batch #55 | Batch Accuracy 95.14%
Epoch [2/5] | Batch #56 | Batch Accuracy 95.18%
Epoch [2/5] | Batch #57 | Batch Accuracy 95.22%
Epoch [2/5] | Batch #58 | Batch Accuracy 95.37%
Epoch [2/5] | Batch #59 | Batch Accuracy 95.50%
Epoch [2/5] | Batch #60 | Batch Accuracy 95.42%
Epoch [2/5] | Batch #61 | Batch Accuracy 95.63%
Epoch [2/5] | Batch #62 | Batch Accuracy 95.64%
Epoch [2/5] | Batch #63 | Batch Accuracy 95.65%
Epoch [2/5] | Batch #64 | Batch Accuracy 95.57%
Epoch [2/5] | Batch #65 | Batch Accuracy 95.75%
Epoch [2/5] | Batch #66 | Batch Accuracy 95.91%
Epoch [2/5] | Batch #67 | Batch Accuracy 95.83%
Epoch [2/5] | Batch #68 | Batch Accuracy 95.91%
Epoch [2/5] | Batch #69 | Batch Accuracy 95.69%
Epoch [2/5] | Batch #70 | Batch Accuracy 95.69%
Epoch [2/5] | Batch #71 | Batch Accuracy 95.23%
Epoch [2/5] | Batch #72 | Batch Accuracy 95.18%
Epoch [2/5] | Batch #73 | Batch Accuracy 95.33%
Epoch [2/5] | Batch #74 | Batch Accuracy 95.34%
Epoch [2/5] | Batch #75 | Batch Accuracy 95.36%
Epoch [2/5] | Batch #76 | Batch Accuracy 95.31%
Epoch [2/5] | Batch #77 | Batch Accuracy 95.38%
Epoch [2/5] | Batch #78 | Batch Accuracy 95.29%
Epoch [2/5] | Batch #79 | Batch Accuracy 95.30%
Epoch [2/5] | Batch #80 | Batch Accuracy 95.26%
Epoch [2/5] Train Loss: 0.1348 | Train Acc: 95.26% | Val Acc: 85.94% | Val Loss: 0.48%
Epoch [3/5] | Batch #81 | Batch Accuracy 97.92%
Epoch [3/5] | Batch #82 | Batch Accuracy 97.92%
Epoch [3/5] | Batch #83 | Batch Accuracy 97.22%
Epoch [3/5] | Batch #84 | Batch Accuracy 96.88%
Epoch [3/5] | Batch #85 | Batch Accuracy 96.67%
Epoch [3/5] | Batch #86 | Batch Accuracy 96.53%
Epoch [3/5] | Batch #87 | Batch Accuracy 96.73%
Epoch [3/5] | Batch #88 | Batch Accuracy 96.09%
Epoch [3/5] | Batch #89 | Batch Accuracy 95.60%
Epoch [3/5] | Batch #90 | Batch Accuracy 95.83%
Epoch [3/5] | Batch #91 | Batch Accuracy 95.83%
Epoch [3/5] | Batch #92 | Batch Accuracy 94.97%
Epoch [3/5] | Batch #93 | Batch Accuracy 95.03%
Epoch [3/5] | Batch #94 | Batch Accuracy 94.94%
Epoch [3/5] | Batch #95 | Batch Accuracy 95.00%
Epoch [3/5] | Batch #96 | Batch Accuracy 95.18%
Epoch [3/5] | Batch #97 | Batch Accuracy 95.34%
Epoch [3/5] | Batch #98 | Batch Accuracy 95.25%
Epoch [3/5] | Batch #99 | Batch Accuracy 95.50%
Epoch [3/5] | Batch #100 | Batch Accuracy 95.31%
Epoch [3/5] | Batch #101 | Batch Accuracy 95.54%
Epoch [3/5] | Batch #102 | Batch Accuracy 95.27%
Epoch [3/5] | Batch #103 | Batch Accuracy 95.29%
Epoch [3/5] | Batch #104 | Batch Accuracy 94.97%
Epoch [3/5] | Batch #105 | Batch Accuracy 94.83%
Epoch [3/5] | Batch #106 | Batch Accuracy 95.03%
Epoch [3/5] | Batch #107 | Batch Accuracy 94.91%
Epoch [3/5] | Batch #108 | Batch Accuracy 94.94%
Epoch [3/5] | Batch #109 | Batch Accuracy 95.11%
Epoch [3/5] | Batch #110 | Batch Accuracy 95.14%
Epoch [3/5] | Batch #111 | Batch Accuracy 94.89%
Epoch [3/5] | Batch #112 | Batch Accuracy 94.99%
Epoch [3/5] | Batch #113 | Batch Accuracy 95.08%
